date,order_id,product,quantity,amount,status
2026-03-15,ORD-1000,Koszulka Premium,1,79.99,completed
2026-03-15,ORD-1001,Kubek ceramiczny,2,99.98,completed
2026-03-15,ORD-1002,Koszulka Premium,1,79.99,completed
2026-03-15,ORD-1003,Koszulka Premium,1,79.99,completed
2026-03-15,ORD-1004,Kubek ceramiczny,1,49.99,completed
2026-03-15,ORD-1005,Długopis metalowy,4,79.96,completed
2026-03-15,ORD-1006,Długopis metalowy,3,59.97,completed
2026-03-15,ORD-1007,Koszulka Premium,2,159.98,completed
2026-03-15,ORD-1008,Torba bawełniana,3,119.97,completed
2026-03-15,ORD-1009,Torba bawełniana,1,39.99,completed
2026-03-15,ORD-1010,Koszulka Premium,3,239.97,completed
2026-03-15,ORD-1011,Długopis metalowy,3,59.97,completed
2026-03-15,ORD-1012,Notatnik A5,1,29.99,completed
2026-03-15,ORD-1013,Notatnik A5,1,29.99,completed
2026-03-15,ORD-1014,Długopis metalowy,3,59.97,completed
2026-03-15,ORD-1015,Koszulka Premium,1,79.99,completed
2026-03-15,ORD-1016,Torba bawełniana,1,39.99,completed
2026-03-15,ORD-1017,Koszulka Premium,4,319.96,completed
2026-03-15,ORD-1018,Torba bawełniana,2,79.98,completed
2026-03-15,ORD-1019,Kubek ceramiczny,3,149.97,completed
2026-03-15,ORD-1020,Koszulka Premium,2,159.98,completed
2026-03-15,ORD-1021,Kubek ceramiczny,2,99.98,completed
2026-03-15,ORD-1022,Torba bawełniana,2,79.98,completed
2026-03-15,ORD-1023,Koszulka Premium,2,159.98,completed
2026-03-15,ORD-1024,Torba bawełniana,4,159.96,completed
2026-03-15,ORD-1025,Kubek ceramiczny,3,149.97,completed
2026-03-15,ORD-1026,Notatnik A5,4,119.96,completed
2026-03-15,ORD-1027,Notatnik A5,2,59.98,completed
2026-03-15,ORD-1028,Kubek ceramiczny,3,149.97,completed
2026-03-15,ORD-1029,Notatnik A5,4,119.96,completed
2026-03-15,ORD-1030,Kubek ceramiczny,4,199.96,completed
2026-03-15,ORD-1031,Koszulka Premium,1,79.99,completed
2026-03-15,ORD-1032,Kubek ceramiczny,4,199.96,completed
2026-03-15,ORD-1033,Notatnik A5,4,119.96,completed
2026-03-15,ORD-1034,Notatnik A5,3,89.97,completed
2026-03-15,ORD-1035,Koszulka Premium,1,79.99,completed
2026-03-15,ORD-1036,Długopis metalowy,3,59.97,completed
2026-03-15,ORD-1037,Torba bawełniana,1,39.99,completed
2026-03-15,ORD-1038,Kubek ceramiczny,4,-199.96,refunded
2026-03-15,ORD-1039,Torba bawełniana,2,79.98,completed
2026-03-15,ORD-1040,Koszulka Premium,3,239.97,completed
